P,M,Time_100MHz,Time_120MHz,Time_140MHz,Power_100MHz,Power_120MHz,Power_140MHz
1,  1, 0.148,  0.124,  0.106,  17.5, 18,   18.1
2,  1, 0.0745, 0.0623, 0.0536, 17.9, 18.2, 18.3
2,  2, 0.0747, ,       ,       18,   ,
4,  1, 0.0378, 0.0316, 0.0272, 18.2, 18.6, 18.8
4,  2, 0.0378, ,       ,       18.4, ,
4,  4, ,       ,       ,       ,     ,
6,  1, 0.0263, 0.0221, 0.0192, 18.8, 19.1, 19.2
6,  2, 0.0264, ,       ,       18.7, ,
6,  3, ,       ,       ,       ,     ,
8,  1, 0.0194, 0.0163, 0.0141, 19,   19.2, 19.4
8,  2, 0.0193, ,       ,       18.9, ,
8,  4, ,       ,       ,       ,     ,
10, 1, 0.0159, 0.0134, 0.0117, 19.3, 19.6, 20
10, 2, 0.016,  ,       ,       19.2, ,
12, 1, 0.0137, 0.0115, 0.01,   19.3, 19.8, 20.2
12, 2, 0.0137, ,       ,       19.5, ,
12, 3, ,       ,       ,       ,     ,
12, 4, ,       ,       ,       ,     ,
16, 1, ,       ,       ,       ,     ,
16, 2, ,       ,       ,       ,     ,
16, 4, ,       ,       ,       ,     ,
